ObjectID,GlobalID,Year,Event Name,Classification Status,Rating Status,Event Type,Initial Data Sources,Location Description,Province,Surveys Completed,Damage,Investigation initiated by NTP,Ground survey completed independently by NTP,Event Description,Web Map Link,Event Sub-Type,Damage Summary,Track Length (km),Maximum Path Width (m),Maximum Wind Speed (km/h),Time (Local),Parent Storm Type,EF-scale DI/DOD,Injuries,Concurrent Event,Unique ID,Mean Motion (from),Day,Month,Time (UTC),Local Time Zone,Fatalities,Damage Cost ($K),Event Summary Map Provided?,x,y
1,cd9ef35c-063f-45f7-85c9-05fc96eaf74a,2019,Beaver Lake,final_classification_completed,final_rating_completed,unclassified_visual_vortex,facebook_eg_instant_weather,Estimated event location,Alberta,satellite,negligible_none,yes,,"Witnesses captured video of a weak vortex attached to cloud base in the Beaver Lake area. Nature of vortex contact with the surface is not clear as view was obscured to witnesses and in the imagery provided. Satellite imagery review revealed no visible damage and no damage was reported. Based on evidence available, event assessed as an Unclassified Visual Vortex.",,,,,,,1630,,,,N/A,,,28,6,2230,MDT,,,No,-111.9,54.66
2,f48ef48e-6194-46e2-8b98-5a1d52d81f51,2019,Figure Lake,final_classification_completed,final_rating_completed,tornado_over_land,storm_track_of_interest_eg_base,Start of damage track,Alberta,"satellite,aerial",ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. High-resolution aerial imagery was collected in September 2019. Damage assessed as EF2, with an estimated max. wind speed of 190 km/h, track length of 4.77 km and max. path width of 320 m. Tornado motion from the W (approx. 265 degrees).",,,,4.77,320,190,1540,Supercell,C-T/DOD-6 (LB),,N/A,,265,28,6,2140,MDT,0,,No,-112.648,54.4611
3,15003eaa-4276-43ab-8765-3ba06777f344,2019,Seibert Lake,final_classification_completed,final_rating_completed,tornado_over_land,storm_track_of_interest_eg_base,Start of damage track,Alberta,"satellite,aerial",ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. High-resolution aerial imagery was collected in September 2019. Damage assessed as EF2, with an estimated max. wind speed of 215 km/h, track length of 17.8 km and max. path width of 1790 m. Tornado motion from the S (approx. 190 degrees).",,,,17.8,1790,215,1700,Supercell,C-T/DOD-6 (EXP-),,N/A,,190,28,6,2300,MDT,0,,No,-111.3746,54.6563000000001
4,ab2f9656-b086-4569-81a9-375425770a48,2019,Wolf Lake,final_classification_completed,final_rating_completed,tornado_over_land,storm_track_of_interest_eg_base,Start of damage track,Alberta,"satellite,aerial",ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. High-resolution aerial imagery was collected in September 2019. Damage assessed as EF2, with an estimated max. wind speed of 215 km/h, track length of 13.3 km and max. path width of 960 m. Tornado motion from the SSW (approx. 200 degrees).",,,,13.3,960,215,1750,Supercell,C-T/DOD-6 (EXP-),,N/A,,200,28,6,2350,MDT,0,,No,-111.1262,54.6624
5,44f60447-dbc3-4d43-8f1e-fa80308f1e68,2019,Newbrook,final_classification_completed,final_rating_completed,tornado_over_land,eccc_eg_forwarded_report,Start of damage track,Alberta,"satellite,aerial",ef1,,,"Structural and tree damage reported north of Newbrook. Satellite imagery review revealed a faint tornado damage track. High-resolution aerial imagery was collected in September 2019. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 4.35 km and max. path width of 210 m. Tornado motion from the WSW (approx. 240 degrees).",,,"Tree snapped/uprooted, rolled garden shed, shingle damage to house",4.35,210,145,1440,Supercell,C-T/DOD-5 (LB),,N/A,,240,28,6,2040,MDT,0,,No,-112.9113,54.3623000000001
6,889bdb74-ef63-4b4d-8e3c-c2f34f50177c,2019,Buffalo Lake Metis Settlement,final_classification_completed,final_rating_completed,tornado_over_land,eccc_eg_forwarded_report,Start of damage track,Alberta,"satellite,ground,aerial,drone",ef2,,yes,"Tree and fenceline damage reported by ranch owner where two animals were killed during the storm. A limited ground survey was conducted by an NTP team on July 3, 2019 in an area with notable tree damage. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in September 2019. Damage assessed as EF2, with an estimated max. wind speed of 215 km/h, track length of 14.1 km and max. path width of 1220 m. Tornado motion from the WSW (approx. 250 degrees).",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/130f2d96ec4d4375b1f7ad3a093b1ba0,,,14.1,1220,215,1615,Supercell,C-T/DOD-6 (EXP-),,N/A,,250,28,6,2215,MDT,0,,Yes,-112.3554,54.5133000000001
7,5879c2bf-6c00-49a9-8637-dc04ebce5b63,2019,Primrose Lake,final_classification_completed,final_rating_completed,tornado_over_land,storm_track_of_interest_eg_base,Start of damage track,Saskatchewan,satellite,ef1,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 170 km/h, track length of 15.5 km and max. path width of 1100 m. Tornado motion from the SSW (approx. 205 degrees).",,,,15.5,1100,170,2040,Supercell,C-T/DOD-5 (EXP-),,N/A,,205,28,6,240,CST,0,,No,-109.9981,54.7231
8,9576072b-a283-407f-8f15-1d917aeb524e,2019,Cold Lake,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Estimated tornado location,Alberta,satellite,ef0,,,"Witnesses captured video of a tornado over Cold Lake that briefly came ashore before dissipating. Satellite imagery review revealed a small area of weak tree damage along the northwestern shoreline. Damage assessed as EF0, with an estimated max. wind speed of 95 km/h. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,,,,,95,2022,Supercell,C-T/DOD-3 (LB+),,N/A,,,28,6,222,MDT,0,,No,-110.165,54.6240000000001
9,34933ee7-9889-4870-85ef-f6d33a6110ce,2019,Crossfield,final_classification_completed,final_rating_completed,tornado_over_land,the_weather_network_eg_field_re,Start of damage track,Alberta,"satellite,ground,drone",ef1,yes,yes,"Witness captured video of a tornado north of Crossfield. A destroyed recreational vehicle and crop damage was investigated by an NTP ground survey team on July 20, 2019. Damage assessed as EF1, with an estimated max. wind speed of 135 km/h, track length of 4.24 km and max. path width of 25 m. Tornado motion from the NNW (approx. 330 degrees). Satellite imagery review did not reveal a damage path.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/09ef6446b003454584556784de93dfe6,,,4.24,25,135,1410,Hybrid,C-SFLF/DOD-2 (EXP),,N/A,,330,14,7,2010,MDT,0,,Yes,-114.0071,51.4673
10,a0cfe4b3-b66c-4b43-8f87-d2d2d1eb6830,2019,Carmangay,final_classification_completed,final_rating_completed,tornado_over_land,twitter_eg_ntp_hashtag,Start of damage track,Alberta,"satellite,ground,drone",ef2,yes,yes,"Witnesses captured video and photos of a tornado east of Carmangay. Structural and tree damage was investigated by an NTP ground survey team on July 20, 2019. Damage assessed as EF2, with an estimated max. wind speed of 180 km/h, track length of 5.63 km and max. path width of 400 m. Tornado motion from the NW (approx. 305 degrees). Satellite imagery review did not reveal a damage path. Damage to a barn and grain bins was also reported approx. 10 km SW of the tornado track was also assessed by the survey team, confirmed to be caused by an EF1 downburst.",https://westernu.maps.arcgis.com/apps/opsdashboard/index.html#/e4c8ae63ed8e49859bea3f28412a4ed4,,,5.63,400,180,1718,Landspout,SBO/DOD-8 (EXP),0,N/A,,305,18,7,2318,MDT,0,unknown,Yes,-112.8892,50.1366
